Composition,HV,Source
Al47Co18Cr15Cu5Fe10Ni5,849,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al47Co20Cr18Cu5Fe5Ni5,883,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al43Co18Cr20Fe12Ni7,864,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al47Co17Cr16Cu5Fe10Ni5,841,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al43Co24Cr23Fe5Ni5,868,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al43Co25Cr22Fe5Ni5,865,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al46Co21Cr18Cu5Fe5Ni5,840,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al43Co22Cr22Fe8Ni5,882,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al43Co22Cr23Fe7Ni5,883,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al43Co20Cr21Fe9Ni7,828,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al43Co22Cr25Fe5Ni5,848,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al47Co19Cr19Cu5Fe5Ni5,878,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al43Co29Cr18Fe5Ni5,782,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al9.1Cr22.7Cu22.7Ni22.7Ti22.7,392,"郭富强.Al_xCrCuNiTi高熵合金的微观组织与硬度[J].特种铸造及有色合金,2019,39(12):1277-1281./Guo Fuqiang.Microstructure and Hardness of AlCrCuNiTi High-entropy Alloys [J]. Special casting and nonferrous alloy, 2019,39 (12): 1277-1281"
Al13Cr21.7Cu21.7Ni21.7Ti21.7,452,"郭富强.Al_xCrCuNiTi高熵合金的微观组织与硬度[J].特种铸造及有色合金,2019,39(12):1277-1281./Guo Fuqiang.Microstructure and Hardness of AlCrCuNiTi High-entropy Alloys [J]. Special casting and nonferrous alloy, 2019,39 (12): 1277-1281"
Al20Co20Cr20Fe20Ni20,350.2,"黄蕾,王雪洁,王长征,杨院生.Ti对AlCoCrFeNiTi_x高熵合金微观组织和摩擦性能的影响[J].特种铸造及有色合金,2020,40(05):562-566./Huang Lei, Wang Xuejie, Wang Changzheng, Yang Yuansheng. Microstructure Evolution and Wear Resistance of AlCoCrFeNiTi[J]. Special casting and nonferrous alloy, 2020,40 (05): 562-566"
Al16.7Co16.7Cr16.7Fe16.7Ni16.7Ti16.7,435,"黄蕾,王雪洁,王长征,杨院生.Ti对AlCoCrFeNiTi_x高熵合金微观组织和摩擦性能的影响[J].特种铸造及有色合金,2020,40(05):562-566./Huang Lei, Wang Xuejie, Wang Changzheng, Yang Yuansheng. Microstructure Evolution and Wear Resistance of AlCoCrFeNiTi[J]. Special casting and nonferrous alloy, 2020,40 (05): 562-566"
